id,Name,Price,Furniture Type,Colour,Materials,Size,Quantity,Company,Style,Weight
0,Yellow Wood Chair,490,Chair,Yellow,Wood,Small,127,Furnberry,Gothic,166
1,Blue Wood Stool,360,Stool,Blue,Wood,Large,142,Leon's,Gothic,149
2,Purple Plastic Sofa,162,Sofa,Purple,Plastic,Small,72,Leon's,Traditional,79
3,White Plastic Stool,372,Stool,White,Plastic,Large,45,Canadian Furniture,Traditional,99
4,Yellow Metal Stool,382,Stool,Yellow,Metal,Small,145,The Sofa Company,Gothic,155
5,Purple Silicon Chair,479,Chair,Purple,Silicon,Small,80,The Sofa Company,Traditional,213
6,Pink Plastic Stool,163,Stool,Pink,Plastic,Large,77,The Sofa Company,Modern,93
7,White Silicon Table,410,Table,White,Silicon,Small,137,Furnberry,Gothic,179
8,Purple Plastic Stool,92,Stool,Purple,Plastic,Medium,13,Leon's,Gothic,190
9,Purple Metal Sofa,296,Sofa,Purple,Metal,Small,102,Furnberry,Traditional,113
10,Blue Metal Bed,239,Bed,Blue,Metal,Medium,40,Furnberry,Traditional,88
11,Purple Silicon Side Table,457,Side Table,Purple,Silicon,Small,99,Canadian Furniture,Traditional,19
12,Black Metal Table,455,Table,Black,Metal,Medium,119,Furnberry,Modern,137
13,Yellow Wood Bed,72,Bed,Yellow,Wood,Medium,144,The Sofa Company,Traditional,119
14,Yellow Metal Sofa,458,Sofa,Yellow,Metal,Medium,34,Canadian Furniture,Traditional,167
15,Green Silicon Side Table,82,Side Table,Green,Silicon,Large,107,Furnberry,Modern,149
16,Red Plastic Side Table,157,Side Table,Red,Plastic,Medium,28,Furnberry,Traditional,91
17,Blue Plastic Sofa,265,Sofa,Blue,Plastic,Large,7,Canadian Furniture,Gothic,125
18,White Metal Stool,139,Stool,White,Metal,Small,137,The Sofa Company,Traditional,233
19,Pink Plastic Table,102,Table,Pink,Plastic,Medium,86,The Sofa Company,Traditional,162
20,Purple Metal Chair,290,Chair,Purple,Metal,Large,112,Furnberry,Traditional,63
21,Pink Metal Side Table,265,Side Table,Pink,Metal,Medium,111,Furnberry,Modern,137
22,Red Metal Chair,450,Chair,Red,Metal,Medium,71,Canadian Furniture,Modern,176
23,Blue Metal Sofa,134,Sofa,Blue,Metal,Small,6,The Sofa Company,Modern,22
24,Black Silicon Chair,399,Chair,Black,Silicon,Medium,106,The Sofa Company,Modern,214
25,Red Metal Bed,136,Bed,Red,Metal,Medium,109,Furnberry,Modern,234
26,Blue Plastic Stool,479,Stool,Blue,Plastic,Medium,24,Furnberry,Gothic,210
27,White Metal Side Table,96,Side Table,White,Metal,Small,6,Canadian Furniture,Modern,57
28,Red Metal Table,175,Table,Red,Metal,Small,7,Leon's,Traditional,38
29,Black Metal Stool,231,Stool,Black,Metal,Medium,65,Leon's,Traditional,200
